group,true_counts,true_percentage,pred_counts,pred_percentage
A,1077.0,0.1390036138358286,1281.0,0.1653329891584925
AB,1488.0,0.19204956117707794,1329.0,0.17152813629323696
HC,2321.0,0.2995611770779556,2008.0,0.2591636551368095
IN,2783.0,0.3591894682498709,3078.0,0.3972638100154879
OT,7.0,0.0009034589571502323,6.0,0.0007743933918430562
SC,50.0,0.006453278265358802,39.0,0.0050335570469798654
SC-B,18.0,0.0023231801755291687,7.0,0.0009034589571502323
SP,4.0,0.0005162622612287042,0.0,0.0
total,7748.0,0.9999999999999999,7748.0,1.0000000000000002
